"dong","longitude","latitude"
"가락동",127.1157128,37.4952783
"가리봉동",126.888251,37.4823943
"가산동",126.8838298,37.4758795
"가양동",126.8342406,37.5648322
"갈월동",126.9722574,37.5473301
"갈현동",126.9137086,37.6220821
"강일동",127.1742333,37.5626796
"개봉동",126.8557494,37.4888722
"개포동",127.0609282,37.4789643
"거여동",127.1462058,37.4900434
"견지동",126.9826498,37.5743716
"경운동",126.9866772,37.5745287
"계동",126.9871195,37.5806885
"고덕동",127.1570594,37.5632814
"고척동",126.8625002,37.5011414
"공덕동",126.9521717,37.5468697
"공릉동",127.0901988,37.6304778
"공항동",126.8103748,37.558949
"과해동",126.7865769,37.5665478
"관수동",126.9904296,37.5690222
"광장동",127.1052825,37.5478086
"광희동1가",127.0058331,37.5647643
"광희동2가",127.0085234,37.563762
"교남동",126.9619706,37.5718391
"구기동",126.9581885,37.6180692
"구로동",126.8820641,37.4951854
"구산동",126.9103085,37.6117223
"구수동",126.9318896,37.5449531
"구의동",127.0914159,37.5466951
"군자동",127.0736292,37.5530066
"궁동",126.8289067,37.5003075
"금호동1가",127.0244491,37.5543643
"금호동2가",127.0230371,37.5519831
"금호동4가",127.025308,37.5452268
"길동",127.1461206,37.5392074
"길음동",127.023926,37.6073126
"낙원동",126.9884126,37.5728457
"남가좌동",126.9188972,37.5743455
"남대문로1가",126.982792,37.5675088
"남대문로3가",126.9803334,37.5619687
"남대문로4가",126.9759784,37.56027
"남대문로5가",126.9749646,37.5562032
"남창동",126.9772626,37.5578822
"남현동",126.9794198,37.4675553
"내곡동",127.05116,37.4617711
"내발산동",126.8210719,37.5472236
"내수동",126.97195,37.5733392
"내자동",126.9715184,37.5755566
"노고산동",126.9367619,37.5538162
"노량진동",126.9416329,37.5110026
"녹번동",126.9339654,37.6059975
"논현동",127.0315341,37.5135304
"능동",127.0791827,37.5535934
"다동",126.9811398,37.5678759
"답십리동",127.0576058,37.5696589
"당산동",126.9033939,37.5391115
"당산동1가",126.8982342,37.521711
"당산동2가",126.8938653,37.5223863
"당산동3가",126.8972369,37.5255183
"당산동4가",126.8995556,37.5287389
"당산동5가",126.9010187,37.5322248
"당산동6가",126.9029485,37.5340872
"당주동",126.9741524,37.5714728
"대림동",126.899438,37.4955091
"대방동",126.9262539,37.5080962
"대신동",126.9488821,37.5677894
"대조동",126.9208904,37.6141112
"대치동",127.0610527,37.4994914
"대현동",126.9465796,37.5606558
"대흥동",126.9427769,37.5498977
"도곡동",127.0438136,37.4898434
"도렴동",126.974746,37.5734791
"도림동",126.8960068,37.5094016
"도봉동",127.0318174,37.6837277
"도원동",126.9554387,37.5383838
"도화동",126.9495112,37.5398008
"독산동",126.8981937,37.4681147
"돈암동",127.023636,37.6005277
"돈의동",126.990924,37.571887
"동교동",126.923487,37.5576862
"동빙고동",126.9947366,37.5252779
"동선동1가",127.0181885,37.5921647
"동선동2가",127.0200219,37.5901288
"동선동3가",127.020538,37.5932834
"동선동4가",127.0188196,37.5952422
"동선동5가",127.0154194,37.5970151
"동소문동2가",127.0083383,37.5888036
"동소문동4가",127.0107586,37.5915901
"동숭동",127.0051633,37.5808755
"동자동",126.972128,37.5523409
"동작동",126.9742991,37.4998616
"둔촌동",127.144105,37.5272032
"등촌동",126.8532512,37.558653
"마곡동",126.8307466,37.5764888
"마장동",127.0453796,37.5662583
"마천동",127.1530166,37.4976485
"마포동",126.9435802,37.5368623
"만리동2가",126.964253,37.5547643
"망우동",127.1068617,37.6000262
"망원동",126.9012821,37.5559772
"면목동",127.0883961,37.5811454
"명동1가",126.984637,37.5642078
"명륜1가",126.9979737,37.5881388
"명륜3가",126.9923661,37.589259
"명일동",127.1500409,37.5502209
"목동",126.8735297,37.5370192
"묘동",126.9917495,37.5722755
"무교동",126.9791516,37.568084
"묵동",127.081236,37.603865
"문래동2가",126.8926425,37.512853
"문래동3가",126.895289,37.5176033
"문래동4가",126.8902211,37.514032
"문래동5가",126.8830905,37.5167213
"문래동6가",126.8858554,37.5191463
"문배동",126.9696862,37.5370133
"문정동",127.1238462,37.4851331
"미근동",126.9678126,37.5634072
"미아동",127.0269077,37.6268335
"반포동",127.0079167,37.5031833
"방배동",126.9934602,37.4799348
"방이동",127.1215351,37.5164031
"방학동",127.0337541,37.6666657
"방화동",126.813873,37.5764563
"번동",127.037216,37.6279206
"보광동",127.0011919,37.5265039
"보문동3가",127.0163093,37.5834647
"보문동6가",127.0189986,37.5800856
"본동",126.9534025,37.5124421
"봉래동2가",126.9710206,37.5564965
"봉천동",126.9535822,37.4794085
"북가좌동",126.9099561,37.5784186
"북아현동",126.9542682,37.5609677
"불광동",126.9390451,37.6183087
"사당동",126.9733325,37.4862548
"사직동",126.9688063,37.5761637
"산천동",126.9508826,37.5352218
"삼선동1가",127.0080974,37.5856818
"삼선동3가",127.0127559,37.5866444
"삼선동5가",127.0155886,37.5885021
"삼성동",127.0565207,37.5139848
"삼전동",127.0925158,37.5027949
"상계동",127.0730618,37.6748028
"상도1동",126.9530576,37.498071
"상도동",126.9377193,37.4989895
"상봉동",127.0893441,37.5990737
"상수동",126.9244174,37.5454728
"상암동",126.894616,37.5781711
"상왕십리동",127.0249238,37.5679524
"상월곡동",127.0499508,37.603604
"상일동",127.1646653,37.5511064
"서교동",126.9177304,37.5534897
"서린동",126.9806743,37.5694905
"서소문동",126.97381,37.5628953
"서초동",127.0174271,37.4876872
"석관동",127.0609186,37.6084827
"석촌동",127.1035697,37.503517
"성내동",127.1287651,37.5302922
"성북동",127.003439,37.5909485
"성산동",126.9033058,37.5657426
"성수동1가",127.0437247,37.5435182
"성수동2가",127.0542534,37.5394428
"세곡동",127.1073203,37.4692712
"세종로",126.9769233,37.5822874
"소공동",126.9770254,37.5623685
"송월동",126.9651645,37.5697223
"송정동",127.0697666,37.5545101
"송파동",127.1119305,37.504609
"송현동",126.9819347,37.5765518
"수색동",126.8955434,37.5840042
"수서동",127.105154,37.4889628
"수송동",126.9804234,37.5739802
"수유동",127.0089103,37.6387326
"수표동",126.9895729,37.5674037
"수하동",126.984633,37.5673277
"순화동",126.9706122,37.5624639
"숭인동",127.0186416,37.5747055
"시흥동",126.9104662,37.4492857
"신계동",126.9666019,37.5352838
"신공덕동",126.9557029,37.5445917
"신교동",126.9681153,37.5843639
"신길동",126.9139521,37.5062485
"신내동",127.0960772,37.6103313
"신당동",127.0194523,37.5615738
"신대방동",126.9166265,37.4915587
"신도림동",126.8805914,37.5077345
"신림동",126.9383251,37.4626176
"신문로1가",126.9738934,37.5700056
"신문로2가",126.9690668,37.5707373
"신사동",127.022883,37.524124
"신설동",127.0254662,37.5748653
"신수동",126.934558,37.5468417
"신원동",127.0614206,37.4446745
"신월동",126.8365553,37.519981
"신정동",126.8638714,37.5166014
"신천동",127.0995,37.5200705
"신촌동",126.9435838,37.5594793
"쌍문동",127.0304855,37.6522545
"아현동",126.9569379,37.5541171
"안국동",126.983616,37.5771212
"안암동1가",127.0215331,37.5884727
"안암동5가",127.0290956,37.5866998
"암사동",127.1304539,37.558248
"압구정동",127.0302926,37.531684
"양재동",127.0381702,37.4731977
"양평동",126.888352,37.5390834
"양평동1가",126.8886362,37.5231632
"양평동2가",126.8839827,37.5233465
"양평동3가",126.8924107,37.5289951
"양평동4가",126.8960904,37.5361297
"양평동5가",126.8928726,37.5399253
"양평동6가",126.8890103,37.542319
"양화동",126.8890567,37.5483754
"여의도동",126.9345308,37.5175402
"역삼동",127.0373932,37.4999072
"역촌동",126.9169535,37.6044517
"연건동",127.0043003,37.5769232
"연남동",126.9220027,37.5644783
"연지동",126.9999636,37.5734515
"연희동",126.9325254,37.5717975
"염리동",126.9476266,37.5496169
"염창동",126.8717993,37.5540319
"영등포동",126.8962283,37.5263715
"영등포동1가",126.9129245,37.5175327
"영등포동2가",126.911986,37.5212309
"영등포동3가",126.907807,37.5177549
"영등포동4가",126.9037763,37.5175989
"영등포동5가",126.9067076,37.5210958
"영등포동7가",126.9070793,37.5243728
"영등포동8가",126.905394,37.5283387
"예관동",126.9985618,37.5644436
"예장동",126.9896164,37.5551027
"오금동",127.1278734,37.5029895
"오류동",126.8385254,37.4901258
"옥수동",127.0134664,37.5435935
"옥인동",126.9617495,37.5841277
"온수동",126.8206441,37.4939934
"와룡동",126.9927447,37.581994
"외발산동",126.8210719,37.5472236
"용강동",126.9416684,37.5417874
"용답동",127.0554067,37.5640647
"용두동",127.0302138,37.5762288
"용산동2가",126.9835695,37.5407943
"용산동3가",126.9774863,37.5319856
"용산동4가",126.9842601,37.5308455
"용산동5가",126.9746368,37.5261782
"용산동6가",126.9841218,37.523327
"우면동",127.0164423,37.4651959
"우이동",127.0118806,37.6479697
"원서동",126.9887674,37.580603
"원지동",127.0498797,37.4423018
"원효로1가",126.9674607,37.5399325
"원효로2가",126.9628655,37.5360037
"원효로3가",126.95735,37.5347545
"원효로4가",126.9504725,37.5323003
"월계동",127.0568215,37.6277451
"을지로1가",126.980979,37.5653
"을지로2가",126.9850802,37.5658904
"을지로3가",126.9916862,37.5661262
"을지로4가",126.9978028,37.5664649
"을지로5가",127.0025169,37.5664267
"을지로6가",127.0076666,37.5686986
"을지로7가",127.0097427,37.5661787
"응봉동",127.0341139,37.5505499
"응암동",126.9205206,37.5926646
"의주로1가",126.9681904,37.564763
"의주로2가",126.9704573,37.5593075
"이문동",127.0655265,37.6004162
"이촌동",126.9660695,37.5161216
"이태원동",126.9921017,37.5400456
"이화동",127.0043003,37.5769232
"익선동",126.989835,37.5742793
"인사동",126.9862326,37.5716555
"인의동",126.9974345,37.5722313
"인현동1가",126.9940488,37.5640095
"인현동2가",126.9958793,37.5638519
"일원동",127.0801089,37.4810133
"자곡동",127.0950243,37.474172
"자양동",127.0715809,37.5324005
"잠실동",127.0842945,37.5061273
"잠원동",127.0143281,37.514847
"장안동",127.0706515,37.570627
"장위동",127.0507954,37.6156087
"장지동",127.1285282,37.4773867
"장충동1가",127.0076024,37.5608027
"장충동2가",127.0021234,37.5553677
"재동",126.9851898,37.5784073
"저동1가",126.9879413,37.5642948
"저동2가",126.9897269,37.5641406
"적선동",126.9739195,37.5745573
"전농동",127.0554405,37.5792622
"정동",126.9728716,37.5665684
"정릉동",127.0002306,37.6144929
"제기동",127.0367969,37.5833567
"종로1가",126.9802978,37.5701623
"종로3가",126.9919515,37.5703665
"종로4가",126.9971121,37.5705927
"종로5가",127.0038437,37.5704682
"종로6가",127.0078329,37.571853
"종암동",127.031602,37.6001709
"주교동",126.9993778,37.5682819
"주성동",126.9998472,37.5211485
"중계동",127.0831273,37.6514398
"중곡동",127.0853672,37.5626197
"중동",126.9048389,37.5725438
"중학동",126.9797383,37.5751853
"중화동",127.0778661,37.5995064
"증산동",126.907314,37.5849961
"진관동",126.9421897,37.6413466
"창동",127.0433646,37.648965
"창성동",126.9723526,37.5806564
"창신동",127.0121575,37.5750914
"창전동",126.9309867,37.5501124
"창천동",126.9345627,37.5584944
"천왕동",126.8415075,37.4803813
"천호동",127.1256452,37.5439937
"청담동",127.0486655,37.5231998
"청량리동",127.0445965,37.588908
"청암동",126.9461605,37.5343891
"청운동",126.9697192,37.5893662
"청진동",126.9800747,37.5713803
"청파동1가",126.9670874,37.5489827
"청파동2가",126.9680402,37.54585
"청파동3가",126.9675767,37.5433425
"충무로1가",126.9825464,37.5609432
"충무로2가",126.9877434,37.5615919
"충무로3가",126.9909515,37.5622214
"충무로4가",126.996153,37.5622705
"충정로1가",126.9681594,37.5665316
"충정로2가",126.9640448,37.5646792
"충정로3가",126.9616111,37.5618617
"태평로1가",126.9771635,37.5679872
"태평로2가",126.9765618,37.5630763
"통의동",126.973046,37.5779493
"평창동",126.9668582,37.6053351
"풍납동",127.1134887,37.5327384
"필동2가",126.9946111,37.5598189
"필운동",126.9678162,37.5777124
"하계동",127.0725939,37.637576
"하왕십리동",127.0279598,37.5689559
"하월곡동",127.0409997,37.6041779
"하중동",126.9277011,37.5429708
"한강로1가",126.9730964,37.5375702
"한강로2가",126.9696924,37.5316834
"한강로3가",126.9606764,37.5290923
"한남동",127.0062454,37.5311789
"합동",126.9662947,37.5617452
"합정동",126.9101219,37.5463089
"행당동",127.0347413,37.5574629
"현석동",126.9344434,37.5417383
"혜화동",127.0003554,37.586755
"홍은동",126.9319759,37.5871322
"홍익동",127.0317252,37.5662961
"홍제동",126.9489831,37.5855112
"화곡동",126.8471024,37.5381184
"화양동",127.073456,37.5435547
"황학동",127.0214099,37.5674517
"회기동",127.055128,37.5907275
"회현동1가",126.981124,37.5566746
"회현동2가",126.9829133,37.5589433
"효자동",126.9720569,37.5826279
"효창동",126.9613055,37.5417318
"후암동",126.9814212,37.5498915
"휘경동",127.0636187,37.5900176
"흑석동",126.9605285,37.5094857
"흥인동",127.0167756,37.5674439
